State ,2018 Turnout,Result ,Margin ,Senator ,2014 Turnout ,Result ,Margin ,Senator,2010 Turnout ,Result ,Margin ,Senator,2006 Turnout ,Result,,,2002 Turnout ,Result,Vote ,Senator,,,,,,,
National ,49.40%,,,,36.00%,,,,41.00%,,,,40.40%,,,,39.50%,,,,,,,,,,
Alabama,46.90%,,,,32.90%,Hold,95.00%,Jeff Session R ,43.00%,Hold ,30.60%,Richard Shelby R ,37.50%,,,,41.50%,Hold,18.80%,Jeff Sessions R ,,,,,,,
Alaska,54.50%,,,,54.20%,Flip ,2.20%,Dan Sullivan R ,51.90%,Hold ,4.00%,Lisa Murkowski R ,51.00%,,,,54.20%,Hold,67.00%,Ted Stevens R ,,,,,,,
Arizona,46.90%,Flip ,2.35%,Kyrsten Synema (D),33.40%,,,,41.00%,Hold ,24.20%,John McCain R ,38.90%,Hold,9.80%,Jon Kyl R ,35.90%,,,,,,,,,,
Arkansas,41.00%,No Race ,,,40.10%,Flip ,17.10%,Tom Cotton R ,37.50%,Flip ,20.95%,John Boozeman R ,38.70%,,,,41.30%,FLIP,7.80%,Mark Pryor D ,,,,,,,
California,48.30%,Hold,8.32%,Diane Fienstein (D),29.90%,,,,44.00%,Hold ,10.00%,Barbara Boxer D ,40.20%,Hold,25.20%,Dianne Fienstien D ,36.10%,,,,,,,,,,
Colorado,60.00%,,,,53.70%,Flip ,1.90%,Cory Gardner R,50.60%,Hold ,1.70%,Michael Bennett D ,47.30%,,,,46.30%,Hold,4.90%,Wayne Allred R ,,,,,,,
Connecticut,54.20%,Hold,20.18%,Chris Murphy (D),42.30%,,,,45.90%,Hold ,12.00%,Richard Bluementhal D ,46.60%,FLIP (Independent) ,10.00%,Joe Liberman I ,42.30%,,,,,,,,,,
Delaware,50.80%,Hold,22.14%,Tom Carper (D) ,34.30%,Hold,13.60%,Chris Coons D ,47.50%,Hold ,16.60%,Chris Coons D ,42.30%,Hold,29.70%,Tom Carper D ,41.10%,Hold,17.40%,Joe Biden D ,,,,,,,
District of Columbia,42.40%,,,,35.30%,,,,28.90%,,,,28.30%,,,,30.10%,,,,,,,,,,
Florida,53.60%,Flip ,0.12%,Rick Scott (R) ,42.80%,,,,41.70%,Hold ,19.20%,Marco Rubio R ,39.60%,Hold,22.20%,Bill Nelson D ,45.60%,,,,,,,,,,
Georgia,53.90%,,,,38.20%,Hold,7.70%,David Purdue R ,39.80%,Hold ,19.30%,Johnny Iasakson R,34.70%,,,,35.40%,FLIP,6.80%,Saxby Chambliss R ,,,,,,,
Hawaii,38.70%,Hold ,42.30%,Mazie Hirono (D),36.20%,Hold,42.00%,Brian Schatz D ,39.90%,Hold ,53.20%,Daniel Inouye D ,37.90%,Hold,24.60%,Daniel Akaka D ,43.80%,,,,,,,,,,
Idaho,48.00%,,,,39.30%,Hold,30.70%,Jim Risch R ,42.30%,Hold ,46.30%,Mike Crapo R ,45.40%,,,,44.70%,Hold,32.00%,Larry Craig R,,,,,,,
Illinois,50.80%,,,,40.20%,Hold,10.80%,Dick Durbin D ,42.40%,Flip ,1.60%,Mark Kirk R ,40.20%,,,,41.40%,Hold,22.30%,Dick Durbin D ,,,,,,,
Indiana,46.00%,Flip ,5.89%,Mike Braun (R),27.80%,,,,37.10%,Flip ,14.60%,Dan Coates R ,36.60%,Hold,74.70%,Richard Lugar R ,33.90%,,,,,,,,,,
Iowa,57.60%,,,,49.80%,Flip ,8.30%,Joni Ernst R,49.90%,Hold ,31.30%,Chuck Grasserly R ,48.10%,,,,47.90%,Hold,10.40%,Tom Harkin D ,,,,,,,
Kansas,50.80%,,,,42.50%,Hold,10.60%,Pat Roberts R ,41.70%,Hold ,44.10%,Jerry Moran R ,43.60%,,,,44.00%,Hold,73.40%,Pat Roberts R ,,,,,,,
Kentucky,47.40%,,,,44.20%,Hold,15.50%,Mitch McConnell R ,42.40%,Hold ,11.50%,Rand Paul R ,40.40%,,,,37.20%,Hold,29.40%,Mitch McConnell R ,,,,,,,
